execucao, duracao, operacao, colecao
55,0.00352,get,concurrentHashMap
56,0.003225,get,concurrentHashMap
57,0.00316,get,concurrentHashMap
58,0.003128,get,concurrentHashMap
59,0.003272,get,concurrentHashMap
60,0.003101,get,concurrentHashMap
61,0.003212,get,concurrentHashMap
62,0.003215,get,concurrentHashMap
63,0.00315,get,concurrentHashMap
64,0.003076,get,concurrentHashMap
65,0.002501,get,concurrentHashMap
66,0.009272,get,concurrentHashMap
67,0.003508,get,concurrentHashMap
68,0.003198,get,concurrentHashMap
69,0.003311,get,concurrentHashMap
70,10.652147,get,concurrentHashMap
71,0.012498,get,concurrentHashMap
72,0.002101,get,concurrentHashMap
73,0.014168,get,concurrentHashMap
74,0.002105,get,concurrentHashMap
75,0.002407,get,concurrentHashMap
76,0.002239,get,concurrentHashMap
77,0.004193,get,concurrentHashMap
78,0.005755,get,concurrentHashMap
79,0.002485,get,concurrentHashMap
80,0.003183,get,concurrentHashMap
81,0.002297,get,concurrentHashMap
82,0.00216,get,concurrentHashMap
83,0.002272,get,concurrentHashMap
84,0.002251,get,concurrentHashMap
85,0.002145,get,concurrentHashMap
86,0.002282,get,concurrentHashMap
87,0.00225,get,concurrentHashMap
88,0.002472,get,concurrentHashMap
89,0.002058,get,concurrentHashMap
90,0.002147,get,concurrentHashMap
91,0.00225,get,concurrentHashMap
92,0.002143,get,concurrentHashMap
93,0.002115,get,concurrentHashMap
94,0.002003,get,concurrentHashMap
95,0.002026,get,concurrentHashMap
96,0.002151,get,concurrentHashMap
97,0.002017,get,concurrentHashMap
98,0.001987,get,concurrentHashMap
99,0.002022,get,concurrentHashMap
100,0.001747,get,concurrentHashMap
