duracao, operacao, colecao
0.00285,get,ConcurrentHashMap
0.004051,get,ConcurrentHashMap
0.00349,get,ConcurrentHashMap
0.002314,get,ConcurrentHashMap
0.003194,get,ConcurrentHashMap
0.004479,get,ConcurrentHashMap
0.002499,get,ConcurrentHashMap
0.002389,get,ConcurrentHashMap
0.002993,get,ConcurrentHashMap
0.003467,get,ConcurrentHashMap
0.00236,get,ConcurrentHashMap
0.003985,get,ConcurrentHashMap
0.002024,get,ConcurrentHashMap
0.002236,get,ConcurrentHashMap
0.002138,get,ConcurrentHashMap
0.0044,get,ConcurrentHashMap
0.002451,get,ConcurrentHashMap
0.002364,get,ConcurrentHashMap
0.002114,get,ConcurrentHashMap
0.002038,get,ConcurrentHashMap
0.001824,get,ConcurrentHashMap
0.001897,get,ConcurrentHashMap
0.001882,get,ConcurrentHashMap
